,cluster,count,min,max,mean,sum,categ_0,categ_1,categ_2,categ_3,categ_4,LastPurchase,FirstPurchase,size
0,6.0,2.1652173913043478,193.02886956521738,313.92113043478275,244.8613346618358,572.4903913043473,57.660151498109585,6.000521459910393,5.406898130573691,12.94235119251983,17.990077718886425,99.97391304347826,167.3521739130435,230
1,4.0,2.1627118644067798,203.50816949152556,342.2670847457625,266.4288861374029,668.1415932203388,6.421086592039708,51.04639312362352,10.873435625437578,18.130968495990615,13.580621976967755,110.4135593220339,171.15254237288136,295
2,1.0,2.49002849002849,193.28208262108248,310.1690313390313,245.73350272926646,624.9199173789177,5.277063410972329,13.140747996645887,52.0655173761482,18.18071293171124,11.35203475556676,120.96581196581197,191.67806267806267,351
3,0.0,2.3755656108597285,207.3687782805431,356.0193438914027,275.44717366774125,715.8134841628963,5.686935228691737,7.499719294886751,10.189224487902829,64.87444181851764,11.749679170000997,114.63122171945702,190.9004524886878,442
4,3.0,2.3946784922394677,214.487937915743,322.67410421286024,265.878644921829,650.4615543237251,12.72461946970946,7.53300434971694,5.792884598509124,16.39524222245779,57.557549977218244,104.31263858093126,174.88248337028824,451
5,8.0,3.342447026657553,217.48993916609734,464.6013472317165,331.38776424359804,1112.4457628161306,14.08429245010943,17.151856034148775,14.449627581916724,28.07310683953194,26.24516825259248,78.4771018455229,197.36021872863978,1463
6,5.0,1.7783505154639174,1028.5056185567007,1418.4295927835044,1207.4011075110454,2300.753561855671,11.897957028374458,16.858951226230502,13.691672003036958,31.510190128321717,26.041577534696234,91.6340206185567,142.42268041237114,194
7,2.0,1.6666666666666667,3480.920833333333,3966.8125,3700.139305555555,5949.599999999999,22.890735930889594,15.171169497446469,18.278469735039597,23.55700076894313,20.102624067681212,68.16666666666667,132.58333333333334,12
8,10.0,18.233766233766232,87.56831168831167,1583.159350649351,562.4878152931423,9828.406818181818,12.081241565895526,16.25702334974914,15.588021285753095,32.3033779028771,23.79068307868764,16.928571428571427,279.04545454545456,154
9,9.0,92.0,10.985714285714286,1858.25,374.6015532375847,34845.10571428571,13.117582976721355,13.40297078373358,17.72103755573497,29.95172861146597,25.832530740273683,1.4285714285714286,302.2857142857143,7
10,7.0,25.0,457.5911111111111,18086.800000000003,4989.406686275592,94822.11333333334,7.924226804579913,18.673714773406747,20.970479292480373,28.88801948162447,23.543559647908495,41.77777777777778,270.77777777777777,9
